all_repo_names,all_tool_names
degen,"tqdm
,numpy
,nltk
,spacy
,scipy"
ICLR-2020,"torchvision==0.6.0+cu101
,torch==1.5.0+cu101
,matplotlib==3.2.1
,numpy==1.18.3
,seaborn==0.10.1
,ipython==7.14.0
,tensorboardx==2.0
"
CompGCN,"torch==1.4.0
,ordered_set==3.1
,numpy==1.16.2
,torch_scatter==2.0.4
,scikit_learn==0.21.1
"
geom-gcn,"numpy==1.18.3
,networkx==2.4
,scipy==1.4.1
,torch==1.5.0+cu101
,dgl==0.4.3.post2
,scikit_learn==0.22.2.post1
,tensorboardx==2.0
"
knnlm,"spacy==2.2.4
,torch==1.5.0+cu101
,regex==2019.12.20
,tqdm==4.38.0
,nltk==3.2.5
,h5py==2.10.0
,numpy==1.18.3
,boto3==1.12.47
,cython==0.29.17
,botocore==1.15.47
,pyarrow==0.14.1
,requests==2.23.0
,apex==0.9.10dev
,faiss==1.5.3
,fastbpe==0.1.0
,fvcore==0.1.dev200424
,pytorch_transformers==1.2.0
,sacrebleu==1.4.9
,sacremoses==0.0.41
,sentencepiece==0.1.86
,soundfile==0.10.3.post1
,subword_nmt==0.3.7
,tensorboardx==2.0
,torchaudio==0.5.0
"
ddsp,"absl_py==0.9.0
,tensorflow_datasets==2.1.0
,librosa==0.6.3
,scipy==1.4.1
,tensorflow==2.2.0rc3
,matplotlib==3.2.1
,numpy==1.18.3
,absl==0.0
,apache_beam==2.20.0
,crepe==0.0.11
,ipython==7.14.0
,protobuf==3.11.3
,pydub==0.23.1
"
metadrop,"numpy==1.18.3
,requests==2.23.0
,tqdm==4.38.0
,matplotlib==3.2.1
,tensorflow==2.2.0rc3
,scikit_learn==0.22.2.post1
"
learning-circuits,"python>=3.6
,pytorch>=1.0
,ray>=0.6.5
,sacred
,numpy
"
pytorch-ensembles,"scipy==1.4.1
,numpy==1.18.3
,pandas==1.0.3
,tqdm==4.38.0
,tabulate==0.8.7
,torchvision==0.6.0+cu101
,torch==1.5.0+cu101
,gpytorch==1.1.1
,scikit_learn==0.22.2.post1
"
NADST,"torch==1.5.0+cu101
,numpy==1.18.3
,tqdm==4.38.0
"
codes,"
"
ALBERT,"# run pip install --upgrade pip if tensorflow 1.15 cannot be found
,tensorflow==1.15.2   # cpu version of tensorflow
,tensorflow_hub==0.7
,# tensorflow-gpu==1.15  # gpu version of tensorflow
,sentencepiece
"
gsplinets,"tensorflow==2.2.0rc3
,absl_py==0.9.0
,numpy==1.18.3
,h5py==2.10.0
,absl==0.0
,scikit_learn==0.22.2.post1
"
